date,Blumen,isPartial
2018-01-07,41,False
2018-01-14,27,False
2018-01-21,27,False
2018-01-28,0,False
2018-02-04,28,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,29,False
2018-03-11,28,False
2018-03-18,29,False
2018-03-25,28,False
2018-04-01,31,False
2018-04-08,34,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,30,False
2018-05-06,30,False
2018-05-13,27,False
2018-05-20,32,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,30,False
2018-07-08,65,False
2018-07-15,35,False
2018-07-22,0,False
2018-07-29,55,False
2018-08-05,31,False
2018-08-12,0,False
2018-08-19,30,False
2018-08-26,29,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,31,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,66,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,28,False
2018-11-18,28,False
2018-11-25,30,False
2018-12-02,29,False
2018-12-09,0,False
2018-12-16,57,False
2018-12-23,32,False
2018-12-30,32,False
2019-01-06,28,False
2019-01-13,28,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,57,False
2019-02-10,29,False
2019-02-17,0,False
2019-02-24,28,False
2019-03-03,27,False
2019-03-10,0,False
2019-03-17,58,False
2019-03-24,31,False
2019-03-31,41,False
2019-04-07,29,False
2019-04-14,0,False
2019-04-21,28,False
2019-04-28,25,False
2019-05-05,0,False
2019-05-12,28,False
2019-05-19,28,False
2019-05-26,27,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,28,False
2019-06-30,26,False
2019-07-07,79,False
2019-07-14,0,False
2019-07-21,50,False
2019-07-28,31,False
2019-08-04,53,False
2019-08-11,50,False
2019-08-18,0,False
2019-08-25,25,False
2019-09-01,24,False
2019-09-08,23,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,32,False
2019-11-10,0,False
2019-11-17,21,False
2019-11-24,21,False
2019-12-01,22,False
2019-12-08,0,False
2019-12-15,24,False
2019-12-22,25,False
2019-12-29,26,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,21,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,42,False
2020-02-16,0,False
2020-02-23,31,False
2020-03-01,20,False
2020-03-08,39,False
2020-03-15,57,False
2020-03-22,64,False
2020-03-29,44,False
2020-04-05,100,False
2020-04-12,40,False
2020-04-19,16,False
2020-04-26,31,False
2020-05-03,33,False
2020-05-10,34,False
2020-05-17,42,False
2020-05-24,38,False
2020-05-31,37,False
2020-06-07,0,False
2020-06-14,0,False
2020-06-21,38,False
2020-06-28,0,False
2020-07-05,43,False
