date,tartas bodas,isPartial
2018-01-07,41,False
2018-01-14,62,False
2018-01-21,20,False
2018-01-28,40,False
2018-02-04,0,False
2018-02-11,21,False
2018-02-18,31,False
2018-02-25,30,False
2018-03-04,20,False
2018-03-11,30,False
2018-03-18,41,False
2018-03-25,57,False
2018-04-01,21,False
2018-04-08,29,False
2018-04-15,41,False
2018-04-22,0,False
2018-04-29,41,False
2018-05-06,20,False
2018-05-13,20,False
2018-05-20,30,False
2018-05-27,40,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,73,False
2018-06-24,31,False
2018-07-01,0,False
2018-07-08,41,False
2018-07-15,32,False
2018-07-22,85,False
2018-07-29,22,False
2018-08-05,53,False
2018-08-12,44,False
2018-08-19,22,False
2018-08-26,21,False
2018-09-02,30,False
2018-09-09,30,False
2018-09-16,20,False
2018-09-23,39,False
2018-09-30,40,False
2018-10-07,21,False
2018-10-14,20,False
2018-10-21,40,False
2018-10-28,41,False
2018-11-04,38,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,21,False
2018-12-09,21,False
2018-12-16,31,False
2018-12-23,0,False
2018-12-30,22,False
2019-01-06,20,False
2019-01-13,97,False
2019-01-20,19,False
2019-01-27,56,False
2019-02-03,20,False
2019-02-10,30,False
2019-02-17,40,False
2019-02-24,19,False
2019-03-03,40,False
2019-03-10,61,False
2019-03-17,41,False
2019-03-24,100,False
2019-03-31,29,False
2019-04-07,29,False
2019-04-14,20,False
2019-04-21,20,False
2019-04-28,20,False
2019-05-05,0,False
2019-05-12,39,False
2019-05-19,29,False
2019-05-26,0,False
2019-06-02,19,False
2019-06-09,19,False
2019-06-16,40,False
2019-06-23,20,False
2019-06-30,98,False
2019-07-07,39,False
2019-07-14,51,False
2019-07-21,20,False
2019-07-28,21,False
2019-08-04,0,False
2019-08-11,21,False
2019-08-18,21,False
2019-08-25,19,False
2019-09-01,28,False
2019-09-08,37,False
2019-09-15,46,False
2019-09-22,36,False
2019-09-29,37,False
2019-10-06,45,False
2019-10-13,0,False
2019-10-20,36,False
2019-10-27,18,False
2019-11-03,44,False
2019-11-10,26,False
2019-11-17,26,False
2019-11-24,26,False
2019-12-01,36,False
2019-12-08,0,False
2019-12-15,27,False
2019-12-22,20,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,33,False
2020-01-19,17,False
2020-01-26,17,False
2020-02-02,34,False
2020-02-09,17,False
2020-02-16,51,False
2020-02-23,33,False
2020-03-01,16,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,15,False
2020-03-29,15,False
2020-04-05,31,False
2020-04-12,0,True
