date,Reparatur Waschmaschine,isPartial
2018-01-07,32,False
2018-01-14,63,False
2018-01-21,32,False
2018-01-28,33,False
2018-02-04,33,False
2018-02-11,33,False
2018-02-18,33,False
2018-02-25,33,False
2018-03-04,65,False
2018-03-11,32,False
2018-03-18,0,False
2018-03-25,35,False
2018-04-01,35,False
2018-04-08,34,False
2018-04-15,34,False
2018-04-22,33,False
2018-04-29,0,False
2018-05-06,69,False
2018-05-13,34,False
2018-05-20,49,False
2018-05-27,36,False
2018-06-03,34,False
2018-06-10,32,False
2018-06-17,100,False
2018-06-24,44,False
2018-07-01,0,False
2018-07-08,66,False
2018-07-15,34,False
2018-07-22,0,False
2018-07-29,35,False
2018-08-05,72,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,36,False
2018-09-02,0,False
2018-09-09,57,False
2018-09-16,33,False
2018-09-23,67,False
2018-09-30,34,False
2018-10-07,33,False
2018-10-14,77,False
2018-10-21,48,False
2018-10-28,33,False
2018-11-04,32,False
2018-11-11,64,False
2018-11-18,46,False
2018-11-25,32,False
2018-12-02,53,False
2018-12-09,63,False
2018-12-16,32,False
2018-12-23,38,False
2018-12-30,69,False
2019-01-06,30,False
2019-01-13,40,False
2019-01-20,0,False
2019-01-27,45,False
2019-02-03,75,False
2019-02-10,51,False
2019-02-17,31,False
2019-02-24,31,False
2019-03-03,63,False
2019-03-10,30,False
2019-03-17,31,False
2019-03-24,47,False
2019-03-31,41,False
2019-04-07,31,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,62,False
2019-05-05,61,False
2019-05-12,31,False
2019-05-19,30,False
2019-05-26,0,False
2019-06-02,47,False
2019-06-09,33,False
2019-06-16,49,False
2019-06-23,31,False
2019-06-30,31,False
2019-07-07,0,False
2019-07-14,31,False
2019-07-21,99,False
2019-07-28,33,False
2019-08-04,69,False
2019-08-11,33,False
2019-08-18,34,False
2019-08-25,34,False
2019-09-01,32,False
2019-09-08,47,False
2019-09-15,32,False
2019-09-22,46,False
2019-09-29,62,False
2019-10-06,30,False
2019-10-13,29,False
2019-10-20,49,False
2019-10-27,29,False
2019-11-03,43,False
2019-11-10,48,False
2019-11-17,48,False
2019-11-24,28,False
2019-12-01,0,False
2019-12-08,29,False
2019-12-15,44,False
2019-12-22,34,False
2019-12-29,64,False
2020-01-05,28,False
2020-01-12,41,False
2020-01-19,28,False
2020-01-26,27,False
2020-02-02,41,False
2020-02-09,28,False
2020-02-16,42,False
2020-02-23,28,False
2020-03-01,27,False
2020-03-08,0,False
2020-03-15,25,False
2020-03-22,24,False
2020-03-29,49,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,50,False
2020-04-26,48,False
2020-05-03,49,False
2020-05-10,25,False
