date,Reparatur Waschmaschine,isPartial
2018-01-07,53,False
2018-01-14,35,False
2018-01-21,35,False
2018-01-28,35,False
2018-02-04,0,False
2018-02-11,35,False
2018-02-18,35,False
2018-02-25,69,False
2018-03-04,35,False
2018-03-11,35,False
2018-03-18,54,False
2018-03-25,36,False
2018-04-01,36,False
2018-04-08,54,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,54,False
2018-05-06,55,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,34,False
2018-06-03,35,False
2018-06-10,34,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,36,False
2018-07-08,37,False
2018-07-15,39,False
2018-07-22,0,False
2018-07-29,35,False
2018-08-05,33,False
2018-08-12,67,False
2018-08-19,82,False
2018-08-26,34,False
2018-09-02,69,False
2018-09-09,0,False
2018-09-16,35,False
2018-09-23,35,False
2018-09-30,36,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,34,False
2018-10-28,34,False
2018-11-04,33,False
2018-11-11,0,False
2018-11-18,67,False
2018-11-25,0,False
2018-12-02,68,False
2018-12-09,0,False
2018-12-16,35,False
2018-12-23,39,False
2018-12-30,35,False
2019-01-06,0,False
2019-01-13,32,False
2019-01-20,0,False
2019-01-27,33,False
2019-02-03,32,False
2019-02-10,100,False
2019-02-17,33,False
2019-02-24,34,False
2019-03-03,33,False
2019-03-10,48,False
2019-03-17,33,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,35,False
2019-04-14,37,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,33,False
2019-05-12,34,False
2019-05-19,66,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,33,False
2019-06-16,66,False
2019-06-23,50,False
2019-06-30,100,False
2019-07-07,67,False
2019-07-14,36,False
2019-07-21,73,False
2019-07-28,35,False
2019-08-04,0,False
2019-08-11,31,False
2019-08-18,82,False
2019-08-25,64,False
2019-09-01,63,False
2019-09-08,32,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,65,False
2019-10-06,32,False
2019-10-13,0,False
2019-10-20,32,False
2019-10-27,0,False
2019-11-03,30,False
2019-11-10,30,False
2019-11-17,31,False
2019-11-24,30,False
2019-12-01,30,False
2019-12-08,0,False
2019-12-15,31,False
2019-12-22,0,False
2019-12-29,31,False
2020-01-05,29,False
2020-01-12,56,False
2020-01-19,29,False
2020-01-26,58,False
2020-02-02,29,False
2020-02-09,0,False
2020-02-16,58,False
2020-02-23,58,False
2020-03-01,29,False
2020-03-08,40,False
2020-03-15,0,False
2020-03-22,27,False
2020-03-29,27,False
2020-04-05,29,False
2020-04-12,84,False
2020-04-19,54,False
2020-04-26,26,False
2020-05-03,0,False
2020-05-10,0,False
