date,chauffage solaire,isPartial
2018-01-07,20,False
2018-01-14,19,False
2018-01-21,0,False
2018-01-28,20,False
2018-02-04,45,False
2018-02-11,49,False
2018-02-18,29,False
2018-02-25,25,False
2018-03-04,19,False
2018-03-11,19,False
2018-03-18,29,False
2018-03-25,20,False
2018-04-01,41,False
2018-04-08,31,False
2018-04-15,56,False
2018-04-22,41,False
2018-04-29,30,False
2018-05-06,43,False
2018-05-13,30,False
2018-05-20,42,False
2018-05-27,50,False
2018-06-03,41,False
2018-06-10,39,False
2018-06-17,21,False
2018-06-24,21,False
2018-07-01,20,False
2018-07-08,21,False
2018-07-15,32,False
2018-07-22,22,False
2018-07-29,44,False
2018-08-05,44,False
2018-08-12,23,False
2018-08-19,22,False
2018-08-26,21,False
2018-09-02,21,False
2018-09-09,63,False
2018-09-16,42,False
2018-09-23,21,False
2018-09-30,0,False
2018-10-07,21,False
2018-10-14,42,False
2018-10-21,54,False
2018-10-28,0,False
2018-11-04,50,False
2018-11-11,34,False
2018-11-18,26,False
2018-11-25,27,False
2018-12-02,20,False
2018-12-09,100,False
2018-12-16,21,False
2018-12-23,38,False
2018-12-30,31,False
2019-01-06,26,False
2019-01-13,0,False
2019-01-20,19,False
2019-01-27,25,False
2019-02-03,19,False
2019-02-10,29,False
2019-02-17,20,False
2019-02-24,33,False
2019-03-03,32,False
2019-03-10,39,False
2019-03-17,20,False
2019-03-24,19,False
2019-03-31,28,False
2019-04-07,37,False
2019-04-14,26,False
2019-04-21,19,False
2019-04-28,31,False
2019-05-05,49,False
2019-05-12,28,False
2019-05-19,18,False
2019-05-26,20,False
2019-06-02,43,False
2019-06-09,24,False
2019-06-16,19,False
2019-06-23,94,False
2019-06-30,28,False
2019-07-07,18,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,39,False
2019-08-04,20,False
2019-08-11,28,False
2019-08-18,0,False
2019-08-25,20,False
2019-09-01,18,False
2019-09-08,36,False
2019-09-15,18,False
2019-09-22,18,False
2019-09-29,37,False
2019-10-06,37,False
2019-10-13,18,False
2019-10-20,36,False
2019-10-27,17,False
2019-11-03,23,False
2019-11-10,0,False
2019-11-17,51,False
2019-11-24,33,False
2019-12-01,39,False
2019-12-08,17,False
2019-12-15,34,False
2019-12-22,74,False
2019-12-29,54,False
2020-01-05,17,False
2020-01-12,17,False
2020-01-19,17,False
2020-01-26,16,False
2020-02-02,32,False
2020-02-09,32,False
2020-02-16,16,False
2020-02-23,37,False
2020-03-01,21,False
2020-03-08,16,False
2020-03-15,15,False
2020-03-22,14,False
2020-03-29,22,False
2020-04-05,74,False
2020-04-12,49,False
2020-04-19,30,False
2020-04-26,42,False
2020-05-03,50,False
2020-05-10,39,False
2020-05-17,50,True
