date,Restaurant Hochzeit,isPartial
2018-01-07,38,False
2018-01-14,37,False
2018-01-21,25,False
2018-01-28,25,False
2018-02-04,26,False
2018-02-11,90,False
2018-02-18,26,False
2018-02-25,26,False
2018-03-04,52,False
2018-03-11,26,False
2018-03-18,26,False
2018-03-25,82,False
2018-04-01,28,False
2018-04-08,27,False
2018-04-15,27,False
2018-04-22,40,False
2018-04-29,41,False
2018-05-06,55,False
2018-05-13,53,False
2018-05-20,85,False
2018-05-27,56,False
2018-06-03,53,False
2018-06-10,26,False
2018-06-17,26,False
2018-06-24,39,False
2018-07-01,51,False
2018-07-08,39,False
2018-07-15,39,False
2018-07-22,26,False
2018-07-29,69,False
2018-08-05,28,False
2018-08-12,43,False
2018-08-19,72,False
2018-08-26,100,False
2018-09-02,27,False
2018-09-09,40,False
2018-09-16,0,False
2018-09-23,40,False
2018-09-30,53,False
2018-10-07,52,False
2018-10-14,52,False
2018-10-21,25,False
2018-10-28,51,False
2018-11-04,37,False
2018-11-11,25,False
2018-11-18,24,False
2018-11-25,37,False
2018-12-02,25,False
2018-12-09,25,False
2018-12-16,0,False
2018-12-23,74,False
2018-12-30,54,False
2019-01-06,47,False
2019-01-13,59,False
2019-01-20,35,False
2019-01-27,47,False
2019-02-03,35,False
2019-02-10,0,False
2019-02-17,24,False
2019-02-24,25,False
2019-03-03,49,False
2019-03-10,47,False
2019-03-17,25,False
2019-03-24,49,False
2019-03-31,24,False
2019-04-07,60,False
2019-04-14,66,False
2019-04-21,26,False
2019-04-28,73,False
2019-05-05,71,False
2019-05-12,48,False
2019-05-19,24,False
2019-05-26,0,False
2019-06-02,37,False
2019-06-09,26,False
2019-06-16,0,False
2019-06-23,24,False
2019-06-30,72,False
2019-07-07,35,False
2019-07-14,49,False
2019-07-21,0,False
2019-07-28,52,False
2019-08-04,54,False
2019-08-11,52,False
2019-08-18,81,False
2019-08-25,41,False
2019-09-01,63,False
2019-09-08,62,False
2019-09-15,50,False
2019-09-22,60,False
2019-09-29,24,False
2019-10-06,58,False
2019-10-13,23,False
2019-10-20,46,False
2019-10-27,23,False
2019-11-03,23,False
2019-11-10,23,False
2019-11-17,33,False
2019-11-24,22,False
2019-12-01,23,False
2019-12-08,22,False
2019-12-15,93,False
2019-12-22,26,False
2019-12-29,50,False
2020-01-05,45,False
2020-01-12,74,False
2020-01-19,44,False
2020-01-26,32,False
2020-02-02,43,False
2020-02-09,0,False
2020-02-16,22,False
2020-02-23,43,False
2020-03-01,42,False
2020-03-08,60,False
2020-03-15,19,False
2020-03-22,19,False
2020-03-29,19,False
2020-04-05,21,False
2020-04-12,0,True
