date,Restaurant Hochzeit,isPartial
2018-01-07,100,False
2018-01-14,65,False
2018-01-21,44,False
2018-01-28,54,False
2018-02-04,45,False
2018-02-11,23,False
2018-02-18,22,False
2018-02-25,55,False
2018-03-04,45,False
2018-03-11,22,False
2018-03-18,44,False
2018-03-25,59,False
2018-04-01,47,False
2018-04-08,34,False
2018-04-15,46,False
2018-04-22,33,False
2018-04-29,69,False
2018-05-06,69,False
2018-05-13,88,False
2018-05-20,59,False
2018-05-27,66,False
2018-06-03,45,False
2018-06-10,32,False
2018-06-17,0,False
2018-06-24,45,False
2018-07-01,66,False
2018-07-08,64,False
2018-07-15,46,False
2018-07-22,23,False
2018-07-29,71,False
2018-08-05,47,False
2018-08-12,23,False
2018-08-19,80,False
2018-08-26,56,False
2018-09-02,23,False
2018-09-09,23,False
2018-09-16,23,False
2018-09-23,34,False
2018-09-30,34,False
2018-10-07,90,False
2018-10-14,34,False
2018-10-21,56,False
2018-10-28,22,False
2018-11-04,96,False
2018-11-11,43,False
2018-11-18,42,False
2018-11-25,85,False
2018-12-02,43,False
2018-12-09,64,False
2018-12-16,44,False
2018-12-23,25,False
2018-12-30,69,False
2019-01-06,62,False
2019-01-13,41,False
2019-01-20,71,False
2019-01-27,61,False
2019-02-03,62,False
2019-02-10,52,False
2019-02-17,63,False
2019-02-24,22,False
2019-03-03,21,False
2019-03-10,82,False
2019-03-17,43,False
2019-03-24,21,False
2019-03-31,42,False
2019-04-07,21,False
2019-04-14,46,False
2019-04-21,45,False
2019-04-28,32,False
2019-05-05,31,False
2019-05-12,64,False
2019-05-19,74,False
2019-05-26,33,False
2019-06-02,32,False
2019-06-09,43,False
2019-06-16,22,False
2019-06-23,22,False
2019-06-30,32,False
2019-07-07,31,False
2019-07-14,44,False
2019-07-21,36,False
2019-07-28,35,False
2019-08-04,23,False
2019-08-11,45,False
2019-08-18,44,False
2019-08-25,21,False
2019-09-01,42,False
2019-09-08,85,False
2019-09-15,43,False
2019-09-22,31,False
2019-09-29,21,False
2019-10-06,41,False
2019-10-13,52,False
2019-10-20,63,False
2019-10-27,51,False
2019-11-03,29,False
2019-11-10,78,False
2019-11-17,29,False
2019-11-24,38,False
2019-12-01,20,False
2019-12-08,20,False
2019-12-15,20,False
2019-12-22,23,False
2019-12-29,22,False
2020-01-05,66,False
2020-01-12,72,False
2020-01-19,28,False
2020-01-26,37,False
2020-02-02,37,False
2020-02-09,18,False
2020-02-16,57,False
2020-02-23,27,False
2020-03-01,36,False
2020-03-08,51,False
2020-03-15,17,False
2020-03-22,17,False
2020-03-29,42,False
2020-04-05,18,False
2020-04-12,0,True
