date,entreprise paysagiste,isPartial
2018-01-07,0,False
2018-01-14,32,False
2018-01-21,32,False
2018-01-28,31,False
2018-02-04,63,False
2018-02-11,64,False
2018-02-18,34,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,32,False
2018-03-18,32,False
2018-03-25,0,False
2018-04-01,84,False
2018-04-08,0,False
2018-04-15,35,False
2018-04-22,51,False
2018-04-29,34,False
2018-05-06,35,False
2018-05-13,0,False
2018-05-20,33,False
2018-05-27,32,False
2018-06-03,31,False
2018-06-10,31,False
2018-06-17,63,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,35,False
2018-07-22,36,False
2018-07-29,0,False
2018-08-05,40,False
2018-08-12,42,False
2018-08-19,0,False
2018-08-26,34,False
2018-09-02,49,False
2018-09-09,63,False
2018-09-16,94,False
2018-09-23,96,False
2018-09-30,47,False
2018-10-07,31,False
2018-10-14,89,False
2018-10-21,62,False
2018-10-28,0,False
2018-11-04,62,False
2018-11-11,30,False
2018-11-18,63,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,64,False
2018-12-16,33,False
2018-12-23,40,False
2018-12-30,73,False
2019-01-06,32,False
2019-01-13,0,False
2019-01-20,31,False
2019-01-27,31,False
2019-02-03,59,False
2019-02-10,31,False
2019-02-17,0,False
2019-02-24,32,False
2019-03-03,31,False
2019-03-10,32,False
2019-03-17,64,False
2019-03-24,50,False
2019-03-31,0,False
2019-04-07,67,False
2019-04-14,51,False
2019-04-21,36,False
2019-04-28,0,False
2019-05-05,35,False
2019-05-12,67,False
2019-05-19,33,False
2019-05-26,34,False
2019-06-02,30,False
2019-06-09,33,False
2019-06-16,33,False
2019-06-23,100,False
2019-06-30,34,False
2019-07-07,34,False
2019-07-14,55,False
2019-07-21,0,False
2019-07-28,41,False
2019-08-04,43,False
2019-08-11,45,False
2019-08-18,0,False
2019-08-25,37,False
2019-09-01,33,False
2019-09-08,98,False
2019-09-15,32,False
2019-09-22,31,False
2019-09-29,31,False
2019-10-06,32,False
2019-10-13,0,False
2019-10-20,33,False
2019-10-27,33,False
2019-11-03,0,False
2019-11-10,64,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,30,False
2019-12-08,31,False
2019-12-15,32,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,30,False
2020-01-12,46,False
2020-01-19,47,False
2020-01-26,46,False
2020-02-02,31,False
2020-02-09,0,False
2020-02-16,48,False
2020-02-23,30,False
2020-03-01,59,False
2020-03-08,58,False
2020-03-15,31,False
2020-03-22,32,False
2020-03-29,31,False
2020-04-05,31,False
2020-04-12,32,False
2020-04-19,0,False
2020-04-26,30,False
2020-05-03,29,False
2020-05-10,0,False
2020-05-17,0,False
2020-05-24,30,False
2020-05-31,43,False
2020-06-07,29,False
2020-06-14,30,False
2020-06-21,0,True
