date,entreprise paysagiste,isPartial
2018-01-07,71,False
2018-01-14,80,False
2018-01-21,99,False
2018-01-28,38,False
2018-02-04,33,False
2018-02-11,48,False
2018-02-18,49,False
2018-02-25,67,False
2018-03-04,57,False
2018-03-11,67,False
2018-03-18,77,False
2018-03-25,73,False
2018-04-01,74,False
2018-04-08,48,False
2018-04-15,39,False
2018-04-22,60,False
2018-04-29,40,False
2018-05-06,56,False
2018-05-13,34,False
2018-05-20,40,False
2018-05-27,57,False
2018-06-03,81,False
2018-06-10,28,False
2018-06-17,78,False
2018-06-24,34,False
2018-07-01,42,False
2018-07-08,30,False
2018-07-15,79,False
2018-07-22,42,False
2018-07-29,55,False
2018-08-05,26,False
2018-08-12,16,False
2018-08-19,58,False
2018-08-26,60,False
2018-09-02,79,False
2018-09-09,69,False
2018-09-16,58,False
2018-09-23,59,False
2018-09-30,93,False
2018-10-07,39,False
2018-10-14,39,False
2018-10-21,0,False
2018-10-28,45,False
2018-11-04,38,False
2018-11-11,43,False
2018-11-18,36,False
2018-11-25,33,False
2018-12-02,43,False
2018-12-09,44,False
2018-12-16,37,False
2018-12-23,39,False
2018-12-30,32,False
2019-01-06,48,False
2019-01-13,24,False
2019-01-20,56,False
2019-01-27,78,False
2019-02-03,51,False
2019-02-10,29,False
2019-02-17,45,False
2019-02-24,54,False
2019-03-03,57,False
2019-03-10,52,False
2019-03-17,49,False
2019-03-24,49,False
2019-03-31,38,False
2019-04-07,39,False
2019-04-14,40,False
2019-04-21,49,False
2019-04-28,33,False
2019-05-05,75,False
2019-05-12,47,False
2019-05-19,47,False
2019-05-26,33,False
2019-06-02,44,False
2019-06-09,69,False
2019-06-16,48,False
2019-06-23,75,False
2019-06-30,38,False
2019-07-07,94,False
2019-07-14,49,False
2019-07-21,60,False
2019-07-28,61,False
2019-08-04,53,False
2019-08-11,36,False
2019-08-18,50,False
2019-08-25,43,False
2019-09-01,61,False
2019-09-08,50,False
2019-09-15,46,False
2019-09-22,57,False
2019-09-29,53,False
2019-10-06,54,False
2019-10-13,49,False
2019-10-20,49,False
2019-10-27,53,False
2019-11-03,39,False
2019-11-10,26,False
2019-11-17,26,False
2019-11-24,59,False
2019-12-01,68,False
2019-12-08,34,False
2019-12-15,26,False
2019-12-22,15,False
2019-12-29,51,False
2020-01-05,29,False
2020-01-12,49,False
2020-01-19,84,False
2020-01-26,66,False
2020-02-02,42,False
2020-02-09,41,False
2020-02-16,42,False
2020-02-23,77,False
2020-03-01,68,False
2020-03-08,83,False
2020-03-15,68,False
2020-03-22,63,False
2020-03-29,29,False
2020-04-05,30,False
2020-04-12,46,False
2020-04-19,37,False
2020-04-26,46,False
2020-05-03,71,False
2020-05-10,67,False
2020-05-17,100,False
2020-05-24,97,False
2020-05-31,66,False
2020-06-07,60,False
2020-06-14,94,False
2020-06-21,69,True
