date,torte comunione,isPartial
2018-01-07,21,False
2018-01-14,26,False
2018-01-21,31,False
2018-01-28,38,False
2018-02-04,36,False
2018-02-11,22,False
2018-02-18,44,False
2018-02-25,38,False
2018-03-04,44,False
2018-03-11,48,False
2018-03-18,33,False
2018-03-25,25,False
2018-04-01,61,False
2018-04-08,78,False
2018-04-15,55,False
2018-04-22,82,False
2018-04-29,100,False
2018-05-06,100,False
2018-05-13,86,False
2018-05-20,66,False
2018-05-27,25,False
2018-06-03,16,False
2018-06-10,8,False
2018-06-17,9,False
2018-06-24,14,False
2018-07-01,3,False
2018-07-08,0,False
2018-07-15,5,False
2018-07-22,4,False
2018-07-29,4,False
2018-08-05,6,False
2018-08-12,4,False
2018-08-19,0,False
2018-08-26,7,False
2018-09-02,10,False
2018-09-09,14,False
2018-09-16,3,False
2018-09-23,7,False
2018-09-30,7,False
2018-10-07,7,False
2018-10-14,7,False
2018-10-21,5,False
2018-10-28,7,False
2018-11-04,5,False
2018-11-11,5,False
2018-11-18,3,False
2018-11-25,14,False
2018-12-02,4,False
2018-12-09,3,False
2018-12-16,11,False
2018-12-23,4,False
2018-12-30,9,False
2019-01-06,9,False
2019-01-13,27,False
2019-01-20,23,False
2019-01-27,42,False
2019-02-03,16,False
2019-02-10,21,False
2019-02-17,22,False
2019-02-24,27,False
2019-03-03,16,False
2019-03-10,27,False
2019-03-17,44,False
2019-03-24,45,False
2019-03-31,29,False
2019-04-07,34,False
2019-04-14,41,False
2019-04-21,61,False
2019-04-28,77,False
2019-05-05,94,False
2019-05-12,71,False
2019-05-19,46,False
2019-05-26,38,False
2019-06-02,14,False
2019-06-09,10,False
2019-06-16,14,False
2019-06-23,4,False
2019-06-30,3,False
2019-07-07,5,False
2019-07-14,3,False
2019-07-21,4,False
2019-07-28,5,False
2019-08-04,0,False
2019-08-11,6,False
2019-08-18,4,False
2019-08-25,3,False
2019-09-01,6,False
2019-09-08,3,False
2019-09-15,6,False
2019-09-22,6,False
2019-09-29,5,False
2019-10-06,10,False
2019-10-13,8,False
2019-10-20,8,False
2019-10-27,3,False
2019-11-03,5,False
2019-11-10,6,False
2019-11-17,9,False
2019-11-24,8,False
2019-12-01,6,False
2019-12-08,6,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,7,False
2020-01-05,5,False
2020-01-12,15,False
2020-01-19,23,False
2020-01-26,25,False
2020-02-02,21,False
2020-02-09,18,False
2020-02-16,14,False
2020-02-23,17,False
2020-03-01,14,False
2020-03-08,5,False
2020-03-15,3,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,3,False
2020-04-12,5,False
2020-04-19,3,False
2020-04-26,0,True
