date,torte comunione,isPartial
2018-01-07,23,False
2018-01-14,23,False
2018-01-21,89,False
2018-01-28,22,False
2018-02-04,0,False
2018-02-11,21,False
2018-02-18,50,False
2018-02-25,20,False
2018-03-04,50,False
2018-03-11,70,False
2018-03-18,20,False
2018-03-25,22,False
2018-04-01,22,False
2018-04-08,41,False
2018-04-15,52,False
2018-04-22,55,False
2018-04-29,83,False
2018-05-06,100,False
2018-05-13,90,False
2018-05-20,20,False
2018-05-27,52,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,20,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,22,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,21,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,41,False
2018-10-14,0,False
2018-10-21,20,False
2018-10-28,0,False
2018-11-04,19,False
2018-11-11,20,False
2018-11-18,20,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,22,False
2019-01-20,21,False
2019-01-27,95,False
2019-02-03,43,False
2019-02-10,0,False
2019-02-17,44,False
2019-02-24,30,False
2019-03-03,46,False
2019-03-10,46,False
2019-03-17,0,False
2019-03-24,23,False
2019-03-31,66,False
2019-04-07,0,False
2019-04-14,55,False
2019-04-21,76,False
2019-04-28,87,False
2019-05-05,30,False
2019-05-12,32,False
2019-05-19,21,False
2019-05-26,0,False
2019-06-02,22,False
2019-06-09,44,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,24,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,21,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,40,False
2020-01-19,20,False
2020-01-26,40,False
2020-02-02,40,False
2020-02-09,40,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,19,False
2020-03-08,19,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,20,False
2020-04-19,0,False
2020-04-26,0,True
