date,artisan peintre,isPartial
2018-01-07,63,False
2018-01-14,63,False
2018-01-21,31,False
2018-01-28,63,False
2018-02-04,63,False
2018-02-11,54,False
2018-02-18,34,False
2018-02-25,68,False
2018-03-04,54,False
2018-03-11,65,False
2018-03-18,33,False
2018-03-25,66,False
2018-04-01,34,False
2018-04-08,0,False
2018-04-15,35,False
2018-04-22,51,False
2018-04-29,67,False
2018-05-06,0,False
2018-05-13,97,False
2018-05-20,66,False
2018-05-27,31,False
2018-06-03,47,False
2018-06-10,41,False
2018-06-17,47,False
2018-06-24,64,False
2018-07-01,63,False
2018-07-08,82,False
2018-07-15,71,False
2018-07-22,73,False
2018-07-29,76,False
2018-08-05,60,False
2018-08-12,42,False
2018-08-19,38,False
2018-08-26,35,False
2018-09-02,49,False
2018-09-09,53,False
2018-09-16,52,False
2018-09-23,74,False
2018-09-30,31,False
2018-10-07,42,False
2018-10-14,31,False
2018-10-21,31,False
2018-10-28,34,False
2018-11-04,62,False
2018-11-11,46,False
2018-11-18,31,False
2018-11-25,64,False
2018-12-02,63,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,40,False
2018-12-30,0,False
2019-01-06,48,False
2019-01-13,0,False
2019-01-20,31,False
2019-01-27,77,False
2019-02-03,98,False
2019-02-10,63,False
2019-02-17,80,False
2019-02-24,49,False
2019-03-03,42,False
2019-03-10,0,False
2019-03-17,65,False
2019-03-24,34,False
2019-03-31,54,False
2019-04-07,50,False
2019-04-14,34,False
2019-04-21,97,False
2019-04-28,59,False
2019-05-05,35,False
2019-05-12,84,False
2019-05-19,33,False
2019-05-26,70,False
2019-06-02,30,False
2019-06-09,34,False
2019-06-16,33,False
2019-06-23,50,False
2019-06-30,34,False
2019-07-07,35,False
2019-07-14,55,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,42,False
2019-08-11,45,False
2019-08-18,42,False
2019-08-25,56,False
2019-09-01,100,False
2019-09-08,33,False
2019-09-15,32,False
2019-09-22,95,False
2019-09-29,63,False
2019-10-06,65,False
2019-10-13,32,False
2019-10-20,49,False
2019-10-27,50,False
2019-11-03,73,False
2019-11-10,96,False
2019-11-17,32,False
2019-11-24,46,False
2019-12-01,30,False
2019-12-08,46,False
2019-12-15,48,False
2019-12-22,0,False
2019-12-29,54,False
2020-01-05,76,False
2020-01-12,51,False
2020-01-19,42,False
2020-01-26,61,False
2020-02-02,47,False
2020-02-09,63,False
2020-02-16,86,False
2020-02-23,45,False
2020-03-01,29,False
2020-03-08,68,False
2020-03-15,31,False
2020-03-22,32,False
2020-03-29,31,False
2020-04-05,62,False
2020-04-12,32,False
2020-04-19,31,False
2020-04-26,45,False
2020-05-03,29,False
2020-05-10,30,False
2020-05-17,95,False
2020-05-24,71,False
2020-05-31,48,False
2020-06-07,29,False
2020-06-14,45,False
