date,artisan peintre,isPartial
2018-01-07,31,False
2018-01-14,0,False
2018-01-21,30,False
2018-01-28,0,False
2018-02-04,31,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,30,False
2018-03-04,30,False
2018-03-11,31,False
2018-03-18,31,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,36,False
2018-04-22,33,False
2018-04-29,32,False
2018-05-06,0,False
2018-05-13,32,False
2018-05-20,50,False
2018-05-27,0,False
2018-06-03,32,False
2018-06-10,31,False
2018-06-17,33,False
2018-06-24,33,False
2018-07-01,64,False
2018-07-08,50,False
2018-07-15,35,False
2018-07-22,58,False
2018-07-29,35,False
2018-08-05,0,False
2018-08-12,37,False
2018-08-19,36,False
2018-08-26,100,False
2018-09-02,33,False
2018-09-09,33,False
2018-09-16,50,False
2018-09-23,33,False
2018-09-30,33,False
2018-10-07,0,False
2018-10-14,34,False
2018-10-21,34,False
2018-10-28,33,False
2018-11-04,0,False
2018-11-11,32,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,48,False
2018-12-09,33,False
2018-12-16,33,False
2018-12-23,0,False
2018-12-30,33,False
2019-01-06,0,False
2019-01-13,31,False
2019-01-20,30,False
2019-01-27,59,False
2019-02-03,0,False
2019-02-10,31,False
2019-02-17,65,False
2019-02-24,47,False
2019-03-03,45,False
2019-03-10,30,False
2019-03-17,64,False
2019-03-24,41,False
2019-03-31,44,False
2019-04-07,45,False
2019-04-14,31,False
2019-04-21,0,False
2019-04-28,30,False
2019-05-05,0,False
2019-05-12,49,False
2019-05-19,30,False
2019-05-26,0,False
2019-06-02,30,False
2019-06-09,0,False
2019-06-16,30,False
2019-06-23,30,False
2019-06-30,31,False
2019-07-07,29,False
2019-07-14,30,False
2019-07-21,31,False
2019-07-28,63,False
2019-08-04,32,False
2019-08-11,51,False
2019-08-18,0,False
2019-08-25,32,False
2019-09-01,29,False
2019-09-08,29,False
2019-09-15,28,False
2019-09-22,0,False
2019-09-29,30,False
2019-10-06,59,False
2019-10-13,29,False
2019-10-20,29,False
2019-10-27,28,False
2019-11-03,0,False
2019-11-10,28,False
2019-11-17,0,False
2019-11-24,26,False
2019-12-01,27,False
2019-12-08,54,False
2019-12-15,27,False
2019-12-22,29,False
2019-12-29,29,False
2020-01-05,81,False
2020-01-12,26,False
2020-01-19,27,False
2020-01-26,52,False
2020-02-02,26,False
2020-02-09,26,False
2020-02-16,42,False
2020-02-23,50,False
2020-03-01,26,False
2020-03-08,25,False
2020-03-15,24,False
2020-03-22,0,False
2020-03-29,23,False
2020-04-05,47,False
2020-04-12,31,False
2020-04-19,24,False
2020-04-26,23,False
2020-05-03,23,False
2020-05-10,24,False
2020-05-17,26,False
2020-05-24,25,False
2020-05-31,48,False
2020-06-07,24,False
2020-06-14,0,True
