date,Tischdeko Hochzeit,isPartial
2018-01-07,49,False
2018-01-14,48,False
2018-01-21,64,False
2018-01-28,40,False
2018-02-04,16,False
2018-02-11,100,False
2018-02-18,50,False
2018-02-25,58,False
2018-03-04,50,False
2018-03-11,25,False
2018-03-18,42,False
2018-03-25,54,False
2018-04-01,46,False
2018-04-08,17,False
2018-04-15,26,False
2018-04-22,17,False
2018-04-29,61,False
2018-05-06,26,False
2018-05-13,66,False
2018-05-20,44,False
2018-05-27,45,False
2018-06-03,25,False
2018-06-10,40,False
2018-06-17,40,False
2018-06-24,56,False
2018-07-01,48,False
2018-07-08,71,False
2018-07-15,16,False
2018-07-22,32,False
2018-07-29,58,False
2018-08-05,17,False
2018-08-12,36,False
2018-08-19,45,False
2018-08-26,53,False
2018-09-02,43,False
2018-09-09,17,False
2018-09-16,50,False
2018-09-23,50,False
2018-09-30,34,False
2018-10-07,50,False
2018-10-14,41,False
2018-10-21,16,False
2018-10-28,33,False
2018-11-04,24,False
2018-11-11,16,False
2018-11-18,46,False
2018-11-25,47,False
2018-12-02,16,False
2018-12-09,16,False
2018-12-16,0,False
2018-12-23,19,False
2018-12-30,52,False
2019-01-06,15,False
2019-01-13,37,False
2019-01-20,30,False
2019-01-27,60,False
2019-02-03,45,False
2019-02-10,46,False
2019-02-17,30,False
2019-02-24,32,False
2019-03-03,48,False
2019-03-10,31,False
2019-03-17,32,False
2019-03-24,41,False
2019-03-31,98,False
2019-04-07,32,False
2019-04-14,69,False
2019-04-21,42,False
2019-04-28,39,False
2019-05-05,0,False
2019-05-12,31,False
2019-05-19,54,False
2019-05-26,40,False
2019-06-02,24,False
2019-06-09,50,False
2019-06-16,33,False
2019-06-23,48,False
2019-06-30,23,False
2019-07-07,60,False
2019-07-14,16,False
2019-07-21,25,False
2019-07-28,16,False
2019-08-04,0,False
2019-08-11,42,False
2019-08-18,34,False
2019-08-25,17,False
2019-09-01,16,False
2019-09-08,31,False
2019-09-15,31,False
2019-09-22,38,False
2019-09-29,31,False
2019-10-06,22,False
2019-10-13,15,False
2019-10-20,30,False
2019-10-27,37,False
2019-11-03,72,False
2019-11-10,22,False
2019-11-17,29,False
2019-11-24,29,False
2019-12-01,45,False
2019-12-08,15,False
2019-12-15,0,False
2019-12-22,35,False
2019-12-29,40,False
2020-01-05,42,False
2020-01-12,69,False
2020-01-19,84,False
2020-01-26,28,False
2020-02-02,49,False
2020-02-09,33,False
2020-02-16,28,False
2020-02-23,42,False
2020-03-01,14,False
2020-03-08,59,False
2020-03-15,12,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,14,False
2020-04-12,0,True
