date,Sonnensegel nach Maß,isPartial
2018-01-07,13,False
2018-01-14,13,False
2018-01-21,13,False
2018-01-28,19,False
2018-02-04,0,False
2018-02-11,20,False
2018-02-18,13,False
2018-02-25,13,False
2018-03-04,19,False
2018-03-11,13,False
2018-03-18,39,False
2018-03-25,28,False
2018-04-01,37,False
2018-04-08,58,False
2018-04-15,100,False
2018-04-22,39,False
2018-04-29,32,False
2018-05-06,27,False
2018-05-13,46,False
2018-05-20,46,False
2018-05-27,53,False
2018-06-03,35,False
2018-06-10,46,False
2018-06-17,30,False
2018-06-24,22,False
2018-07-01,20,False
2018-07-08,26,False
2018-07-15,45,False
2018-07-22,63,False
2018-07-29,54,False
2018-08-05,36,False
2018-08-12,27,False
2018-08-19,36,False
2018-08-26,0,False
2018-09-02,13,False
2018-09-09,13,False
2018-09-16,33,False
2018-09-23,0,False
2018-09-30,17,False
2018-10-07,0,False
2018-10-14,17,False
2018-10-21,26,False
2018-10-28,13,False
2018-11-04,12,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,13,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,13,False
2019-01-06,18,False
2019-01-13,12,False
2019-01-20,12,False
2019-01-27,18,False
2019-02-03,24,False
2019-02-10,12,False
2019-02-17,12,False
2019-02-24,17,False
2019-03-03,12,False
2019-03-10,12,False
2019-03-17,25,False
2019-03-24,29,False
2019-03-31,21,False
2019-04-07,55,False
2019-04-14,50,False
2019-04-21,35,False
2019-04-28,45,False
2019-05-05,40,False
2019-05-12,58,False
2019-05-19,24,False
2019-05-26,59,False
2019-06-02,98,False
2019-06-09,51,False
2019-06-16,42,False
2019-06-23,88,False
2019-06-30,62,False
2019-07-07,21,False
2019-07-14,51,False
2019-07-21,45,False
2019-07-28,35,False
2019-08-04,35,False
2019-08-11,19,False
2019-08-18,21,False
2019-08-25,29,False
2019-09-01,0,False
2019-09-08,12,False
2019-09-15,19,False
2019-09-22,24,False
2019-09-29,12,False
2019-10-06,12,False
2019-10-13,0,False
2019-10-20,12,False
2019-10-27,12,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,12,False
2019-11-24,11,False
2019-12-01,12,False
2019-12-08,12,False
2019-12-15,12,False
2019-12-22,13,False
2019-12-29,12,False
2020-01-05,0,False
2020-01-12,21,False
2020-01-19,11,False
2020-01-26,22,False
2020-02-02,22,False
2020-02-09,11,False
2020-02-16,11,False
2020-02-23,11,False
2020-03-01,21,False
2020-03-08,13,False
2020-03-15,30,False
2020-03-22,26,False
2020-03-29,29,False
2020-04-05,86,False
2020-04-12,93,False
2020-04-19,47,False
2020-04-26,52,False
2020-05-03,73,False
2020-05-10,43,False
