date,Einfahrt pflastern,isPartial
2018-01-07,63,False
2018-01-14,0,False
2018-01-21,46,False
2018-01-28,62,False
2018-02-04,32,False
2018-02-11,48,False
2018-02-18,32,False
2018-02-25,31,False
2018-03-04,63,False
2018-03-11,31,False
2018-03-18,42,False
2018-03-25,51,False
2018-04-01,33,False
2018-04-08,0,False
2018-04-15,65,False
2018-04-22,31,False
2018-04-29,49,False
2018-05-06,49,False
2018-05-13,62,False
2018-05-20,33,False
2018-05-27,63,False
2018-06-03,32,False
2018-06-10,45,False
2018-06-17,0,False
2018-06-24,32,False
2018-07-01,31,False
2018-07-08,45,False
2018-07-15,48,False
2018-07-22,33,False
2018-07-29,34,False
2018-08-05,67,False
2018-08-12,33,False
2018-08-19,32,False
2018-08-26,48,False
2018-09-02,32,False
2018-09-09,32,False
2018-09-16,0,False
2018-09-23,32,False
2018-09-30,32,False
2018-10-07,32,False
2018-10-14,32,False
2018-10-21,32,False
2018-10-28,31,False
2018-11-04,91,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,60,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,54,False
2018-12-30,33,False
2019-01-06,44,False
2019-01-13,43,False
2019-01-20,29,False
2019-01-27,29,False
2019-02-03,29,False
2019-02-10,30,False
2019-02-17,40,False
2019-02-24,30,False
2019-03-03,39,False
2019-03-10,48,False
2019-03-17,46,False
2019-03-24,45,False
2019-03-31,0,False
2019-04-07,61,False
2019-04-14,44,False
2019-04-21,0,False
2019-04-28,91,False
2019-05-05,59,False
2019-05-12,91,False
2019-05-19,89,False
2019-05-26,31,False
2019-06-02,30,False
2019-06-09,46,False
2019-06-16,30,False
2019-06-23,31,False
2019-06-30,30,False
2019-07-07,30,False
2019-07-14,47,False
2019-07-21,34,False
2019-07-28,33,False
2019-08-04,100,False
2019-08-11,63,False
2019-08-18,47,False
2019-08-25,30,False
2019-09-01,30,False
2019-09-08,30,False
2019-09-15,30,False
2019-09-22,39,False
2019-09-29,30,False
2019-10-06,29,False
2019-10-13,30,False
2019-10-20,44,False
2019-10-27,29,False
2019-11-03,27,False
2019-11-10,56,False
2019-11-17,55,False
2019-11-24,27,False
2019-12-01,0,False
2019-12-08,28,False
2019-12-15,0,False
2019-12-22,43,False
2019-12-29,0,False
2020-01-05,54,False
2020-01-12,51,False
2020-01-19,27,False
2020-01-26,27,False
2020-02-02,39,False
2020-02-09,64,False
2020-02-16,27,False
2020-02-23,0,False
2020-03-01,51,False
2020-03-08,49,False
2020-03-15,36,False
2020-03-22,24,False
2020-03-29,79,False
2020-04-05,35,False
2020-04-12,49,False
2020-04-19,57,False
2020-04-26,31,False
2020-05-03,36,False
2020-05-10,73,False
