date,scatole portaconfetti,isPartial
2018-01-07,40,False
2018-01-14,0,False
2018-01-21,19,False
2018-01-28,19,False
2018-02-04,77,False
2018-02-11,19,False
2018-02-18,38,False
2018-02-25,37,False
2018-03-04,37,False
2018-03-11,57,False
2018-03-18,95,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,39,False
2018-04-15,0,False
2018-04-22,41,False
2018-04-29,40,False
2018-05-06,19,False
2018-05-13,78,False
2018-05-20,59,False
2018-05-27,39,False
2018-06-03,79,False
2018-06-10,19,False
2018-06-17,58,False
2018-06-24,20,False
2018-07-01,19,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,20,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,22,False
2018-08-26,100,False
2018-09-02,19,False
2018-09-09,77,False
2018-09-16,37,False
2018-09-23,0,False
2018-09-30,38,False
2018-10-07,20,False
2018-10-14,0,False
2018-10-21,57,False
2018-10-28,38,False
2018-11-04,19,False
2018-11-11,0,False
2018-11-18,19,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,39,False
2019-01-13,38,False
2019-01-20,37,False
2019-01-27,36,False
2019-02-03,0,False
2019-02-10,37,False
2019-02-17,19,False
2019-02-24,37,False
2019-03-03,0,False
2019-03-10,58,False
2019-03-17,58,False
2019-03-24,39,False
2019-03-31,58,False
2019-04-07,38,False
2019-04-14,20,False
2019-04-21,83,False
2019-04-28,19,False
2019-05-05,56,False
2019-05-12,18,False
2019-05-19,55,False
2019-05-26,18,False
2019-06-02,38,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,59,False
2019-06-30,59,False
2019-07-07,19,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,40,False
2019-08-04,21,False
2019-08-11,0,False
2019-08-18,41,False
2019-08-25,56,False
2019-09-01,0,False
2019-09-08,18,False
2019-09-15,35,False
2019-09-22,18,False
2019-09-29,18,False
2019-10-06,18,False
2019-10-13,36,False
2019-10-20,0,False
2019-10-27,18,False
2019-11-03,17,False
2019-11-10,17,False
2019-11-17,35,False
2019-11-24,17,False
2019-12-01,18,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,20,False
2020-01-05,53,False
2020-01-12,17,False
2020-01-19,50,False
2020-01-26,33,False
2020-02-02,16,False
2020-02-09,51,False
2020-02-16,17,False
2020-02-23,31,False
2020-03-01,31,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
