date,de fotografía,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,23,False
2018-02-11,47,False
2018-02-18,47,False
2018-02-25,0,False
2018-03-04,46,False
2018-03-11,93,False
2018-03-18,45,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,22,False
2018-04-15,0,False
2018-04-22,47,False
2018-04-29,22,False
2018-05-06,46,False
2018-05-13,0,False
2018-05-20,68,False
2018-05-27,22,False
2018-06-03,22,False
2018-06-10,22,False
2018-06-17,24,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,25,False
2018-07-29,48,False
2018-08-05,44,False
2018-08-12,22,False
2018-08-19,43,False
2018-08-26,22,False
2018-09-02,45,False
2018-09-09,49,False
2018-09-16,24,False
2018-09-23,46,False
2018-09-30,0,False
2018-10-07,47,False
2018-10-14,93,False
2018-10-21,0,False
2018-10-28,24,False
2018-11-04,22,False
2018-11-11,45,False
2018-11-18,44,False
2018-11-25,23,False
2018-12-02,23,False
2018-12-09,22,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,46,False
2019-01-06,44,False
2019-01-13,88,False
2019-01-20,42,False
2019-01-27,65,False
2019-02-03,68,False
2019-02-10,67,False
2019-02-17,22,False
2019-02-24,0,False
2019-03-03,22,False
2019-03-10,0,False
2019-03-17,44,False
2019-03-24,90,False
2019-03-31,0,False
2019-04-07,44,False
2019-04-14,42,False
2019-04-21,42,False
2019-04-28,21,False
2019-05-05,21,False
2019-05-12,21,False
2019-05-19,22,False
2019-05-26,42,False
2019-06-02,42,False
2019-06-09,22,False
2019-06-16,44,False
2019-06-23,22,False
2019-06-30,0,False
2019-07-07,22,False
2019-07-14,69,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,20,False
2019-08-18,19,False
2019-08-25,0,False
2019-09-01,62,False
2019-09-08,21,False
2019-09-15,20,False
2019-09-22,0,False
2019-09-29,20,False
2019-10-06,100,False
2019-10-13,20,False
2019-10-20,58,False
2019-10-27,38,False
2019-11-03,19,False
2019-11-10,56,False
2019-11-17,38,False
2019-11-24,18,False
2019-12-01,39,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,20,False
2019-12-29,20,False
2020-01-05,39,False
2020-01-12,0,False
2020-01-19,37,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,92,False
2020-02-16,75,False
2020-02-23,56,False
2020-03-01,52,False
2020-03-08,35,False
2020-03-15,33,False
2020-03-22,0,False
2020-03-29,48,False
2020-04-05,0,False
2020-04-12,0,True
