date,Erneuerbare Energien,isPartial
2018-01-07,61,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,29,False
2018-02-04,30,False
2018-02-11,29,False
2018-02-18,28,False
2018-02-25,29,False
2018-03-04,0,False
2018-03-11,30,False
2018-03-18,58,False
2018-03-25,31,False
2018-04-01,31,False
2018-04-08,45,False
2018-04-15,31,False
2018-04-22,58,False
2018-04-29,31,False
2018-05-06,50,False
2018-05-13,30,False
2018-05-20,0,False
2018-05-27,88,False
2018-06-03,60,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,30,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,33,False
2018-07-29,33,False
2018-08-05,31,False
2018-08-12,30,False
2018-08-19,0,False
2018-08-26,31,False
2018-09-02,0,False
2018-09-09,30,False
2018-09-16,30,False
2018-09-23,31,False
2018-09-30,0,False
2018-10-07,32,False
2018-10-14,0,False
2018-10-21,57,False
2018-10-28,30,False
2018-11-04,28,False
2018-11-11,58,False
2018-11-18,56,False
2018-11-25,29,False
2018-12-02,0,False
2018-12-09,44,False
2018-12-16,31,False
2018-12-23,0,False
2018-12-30,68,False
2019-01-06,0,False
2019-01-13,28,False
2019-01-20,0,False
2019-01-27,28,False
2019-02-03,0,False
2019-02-10,28,False
2019-02-17,43,False
2019-02-24,56,False
2019-03-03,29,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,30,False
2019-03-31,29,False
2019-04-07,59,False
2019-04-14,32,False
2019-04-21,31,False
2019-04-28,44,False
2019-05-05,43,False
2019-05-12,45,False
2019-05-19,43,False
2019-05-26,31,False
2019-06-02,30,False
2019-06-09,32,False
2019-06-16,32,False
2019-06-23,32,False
2019-06-30,48,False
2019-07-07,100,False
2019-07-14,35,False
2019-07-21,38,False
2019-07-28,35,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,32,False
2019-09-01,31,False
2019-09-08,31,False
2019-09-15,0,False
2019-09-22,29,False
2019-09-29,58,False
2019-10-06,31,False
2019-10-13,29,False
2019-10-20,27,False
2019-10-27,30,False
2019-11-03,28,False
2019-11-10,30,False
2019-11-17,27,False
2019-11-24,28,False
2019-12-01,45,False
2019-12-08,30,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,28,False
2020-01-12,0,False
2020-01-19,27,False
2020-01-26,40,False
2020-02-02,28,False
2020-02-09,26,False
2020-02-16,24,False
2020-02-23,24,False
2020-03-01,25,False
2020-03-08,48,False
2020-03-15,35,False
2020-03-22,33,False
2020-03-29,22,False
2020-04-05,0,False
2020-04-12,23,False
2020-04-19,0,False
2020-04-26,22,False
2020-05-03,22,False
2020-05-10,55,False
