date,Erneuerbare Energien,isPartial
2018-01-07,43,False
2018-01-14,59,False
2018-01-21,0,False
2018-01-28,28,False
2018-02-04,58,False
2018-02-11,73,False
2018-02-18,30,False
2018-02-25,28,False
2018-03-04,77,False
2018-03-11,42,False
2018-03-18,29,False
2018-03-25,31,False
2018-04-01,0,False
2018-04-08,45,False
2018-04-15,30,False
2018-04-22,43,False
2018-04-29,0,False
2018-05-06,30,False
2018-05-13,56,False
2018-05-20,30,False
2018-05-27,28,False
2018-06-03,29,False
2018-06-10,28,False
2018-06-17,0,False
2018-06-24,86,False
2018-07-01,59,False
2018-07-08,0,False
2018-07-15,31,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,42,False
2018-08-19,28,False
2018-08-26,28,False
2018-09-02,29,False
2018-09-09,0,False
2018-09-16,44,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,30,False
2018-10-14,72,False
2018-10-21,27,False
2018-10-28,54,False
2018-11-04,45,False
2018-11-11,46,False
2018-11-18,80,False
2018-11-25,55,False
2018-12-02,0,False
2018-12-09,28,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,100,False
2019-01-06,39,False
2019-01-13,65,False
2019-01-20,26,False
2019-01-27,26,False
2019-02-03,26,False
2019-02-10,36,False
2019-02-17,28,False
2019-02-24,56,False
2019-03-03,53,False
2019-03-10,53,False
2019-03-17,46,False
2019-03-24,54,False
2019-03-31,56,False
2019-04-07,55,False
2019-04-14,49,False
2019-04-21,29,False
2019-04-28,26,False
2019-05-05,26,False
2019-05-12,27,False
2019-05-19,26,False
2019-05-26,28,False
2019-06-02,41,False
2019-06-09,55,False
2019-06-16,40,False
2019-06-23,46,False
2019-06-30,27,False
2019-07-07,83,False
2019-07-14,58,False
2019-07-21,0,False
2019-07-28,28,False
2019-08-04,57,False
2019-08-11,56,False
2019-08-18,83,False
2019-08-25,53,False
2019-09-01,0,False
2019-09-08,41,False
2019-09-15,55,False
2019-09-22,40,False
2019-09-29,0,False
2019-10-06,53,False
2019-10-13,55,False
2019-10-20,54,False
2019-10-27,76,False
2019-11-03,49,False
2019-11-10,38,False
2019-11-17,25,False
2019-11-24,50,False
2019-12-01,25,False
2019-12-08,25,False
2019-12-15,25,False
2019-12-22,28,False
2019-12-29,40,False
2020-01-05,24,False
2020-01-12,31,False
2020-01-19,24,False
2020-01-26,35,False
2020-02-02,31,False
2020-02-09,37,False
2020-02-16,33,False
2020-02-23,35,False
2020-03-01,23,False
2020-03-08,44,False
2020-03-15,0,False
2020-03-22,35,False
2020-03-29,56,False
2020-04-05,31,False
2020-04-12,45,False
2020-04-19,43,False
2020-04-26,22,False
2020-05-03,58,False
2020-05-10,65,False
