date,rénovation immobilière,isPartial
2018-01-07,30,False
2018-01-14,0,False
2018-01-21,30,False
2018-01-28,0,False
2018-02-04,59,False
2018-02-11,30,False
2018-02-18,31,False
2018-02-25,30,False
2018-03-04,0,False
2018-03-11,45,False
2018-03-18,30,False
2018-03-25,30,False
2018-04-01,31,False
2018-04-08,30,False
2018-04-15,33,False
2018-04-22,0,False
2018-04-29,31,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,60,False
2018-06-03,30,False
2018-06-10,73,False
2018-06-17,0,False
2018-06-24,30,False
2018-07-01,30,False
2018-07-08,31,False
2018-07-15,33,False
2018-07-22,49,False
2018-07-29,66,False
2018-08-05,100,False
2018-08-12,34,False
2018-08-19,99,False
2018-08-26,63,False
2018-09-02,31,False
2018-09-09,31,False
2018-09-16,31,False
2018-09-23,92,False
2018-09-30,0,False
2018-10-07,46,False
2018-10-14,94,False
2018-10-21,63,False
2018-10-28,47,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,60,False
2018-12-02,30,False
2018-12-09,0,False
2018-12-16,62,False
2018-12-23,0,False
2018-12-30,66,False
2019-01-06,0,False
2019-01-13,90,False
2019-01-20,29,False
2019-01-27,43,False
2019-02-03,58,False
2019-02-10,0,False
2019-02-17,31,False
2019-02-24,0,False
2019-03-03,29,False
2019-03-10,89,False
2019-03-17,46,False
2019-03-24,62,False
2019-03-31,0,False
2019-04-07,31,False
2019-04-14,31,False
2019-04-21,31,False
2019-04-28,30,False
2019-05-05,29,False
2019-05-12,0,False
2019-05-19,29,False
2019-05-26,0,False
2019-06-02,42,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,29,False
2019-07-07,30,False
2019-07-14,31,False
2019-07-21,31,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,32,False
2019-08-18,63,False
2019-08-25,30,False
2019-09-01,29,False
2019-09-08,43,False
2019-09-15,28,False
2019-09-22,28,False
2019-09-29,41,False
2019-10-06,84,False
2019-10-13,42,False
2019-10-20,42,False
2019-10-27,0,False
2019-11-03,54,False
2019-11-10,41,False
2019-11-17,67,False
2019-11-24,26,False
2019-12-01,40,False
2019-12-08,40,False
2019-12-15,54,False
2019-12-22,30,False
2019-12-29,29,False
2020-01-05,39,False
2020-01-12,39,False
2020-01-19,27,False
2020-01-26,52,False
2020-02-02,26,False
2020-02-09,26,False
2020-02-16,0,False
2020-02-23,25,False
2020-03-01,50,False
2020-03-08,25,False
2020-03-15,24,False
2020-03-22,47,False
2020-03-29,35,False
2020-04-05,0,False
2020-04-12,24,False
2020-04-19,23,False
2020-04-26,22,False
2020-05-03,44,False
2020-05-10,23,False
2020-05-17,25,False
2020-05-24,48,False
2020-05-31,23,False
2020-06-07,35,False
2020-06-14,24,False
