date,Klimaanlage einbauen,isPartial
2018-01-07,3,False
2018-01-14,3,False
2018-01-21,7,False
2018-01-28,7,False
2018-02-04,0,False
2018-02-11,3,False
2018-02-18,3,False
2018-02-25,3,False
2018-03-04,3,False
2018-03-11,7,False
2018-03-18,3,False
2018-03-25,0,False
2018-04-01,4,False
2018-04-08,7,False
2018-04-15,4,False
2018-04-22,3,False
2018-04-29,4,False
2018-05-06,8,False
2018-05-13,3,False
2018-05-20,6,False
2018-05-27,15,False
2018-06-03,21,False
2018-06-10,10,False
2018-06-17,3,False
2018-06-24,9,False
2018-07-01,11,False
2018-07-08,5,False
2018-07-15,10,False
2018-07-22,29,False
2018-07-29,75,False
2018-08-05,43,False
2018-08-12,13,False
2018-08-19,6,False
2018-08-26,5,False
2018-09-02,3,False
2018-09-09,7,False
2018-09-16,3,False
2018-09-23,3,False
2018-09-30,0,False
2018-10-07,5,False
2018-10-14,5,False
2018-10-21,0,False
2018-10-28,4,False
2018-11-04,0,False
2018-11-11,7,False
2018-11-18,3,False
2018-11-25,3,False
2018-12-02,3,False
2018-12-09,3,False
2018-12-16,3,False
2018-12-23,4,False
2018-12-30,3,False
2019-01-06,8,False
2019-01-13,6,False
2019-01-20,3,False
2019-01-27,5,False
2019-02-03,3,False
2019-02-10,5,False
2019-02-17,3,False
2019-02-24,3,False
2019-03-03,5,False
2019-03-10,4,False
2019-03-17,0,False
2019-03-24,3,False
2019-03-31,5,False
2019-04-07,4,False
2019-04-14,6,False
2019-04-21,8,False
2019-04-28,5,False
2019-05-05,7,False
2019-05-12,6,False
2019-05-19,7,False
2019-05-26,11,False
2019-06-02,35,False
2019-06-09,15,False
2019-06-16,39,False
2019-06-23,100,False
2019-06-30,37,False
2019-07-07,14,False
2019-07-14,3,False
2019-07-21,63,False
2019-07-28,25,False
2019-08-04,10,False
2019-08-11,8,False
2019-08-18,4,False
2019-08-25,13,False
2019-09-01,3,False
2019-09-08,10,False
2019-09-15,5,False
2019-09-22,6,False
2019-09-29,5,False
2019-10-06,5,False
2019-10-13,3,False
2019-10-20,0,False
2019-10-27,3,False
2019-11-03,3,False
2019-11-10,6,False
2019-11-17,3,False
2019-11-24,3,False
2019-12-01,0,False
2019-12-08,6,False
2019-12-15,6,False
2019-12-22,3,False
2019-12-29,4,False
2020-01-05,7,False
2020-01-12,4,False
2020-01-19,8,False
2020-01-26,3,False
2020-02-02,7,False
2020-02-09,8,False
2020-02-16,6,False
2020-02-23,6,False
2020-03-01,7,False
2020-03-08,5,False
2020-03-15,3,False
2020-03-22,6,False
2020-03-29,8,False
2020-04-05,6,False
2020-04-12,16,False
2020-04-19,7,False
2020-04-26,12,False
2020-05-03,13,False
2020-05-10,13,False
2020-05-17,25,True
