date,inviti per matrimonio,isPartial
2018-01-07,57,False
2018-01-14,37,False
2018-01-21,37,False
2018-01-28,36,False
2018-02-04,18,False
2018-02-11,28,False
2018-02-18,27,False
2018-02-25,35,False
2018-03-04,18,False
2018-03-11,45,False
2018-03-18,18,False
2018-03-25,19,False
2018-04-01,100,False
2018-04-08,46,False
2018-04-15,0,False
2018-04-22,29,False
2018-04-29,47,False
2018-05-06,18,False
2018-05-13,55,False
2018-05-20,37,False
2018-05-27,19,False
2018-06-03,38,False
2018-06-10,36,False
2018-06-17,28,False
2018-06-24,28,False
2018-07-01,18,False
2018-07-08,18,False
2018-07-15,19,False
2018-07-22,19,False
2018-07-29,38,False
2018-08-05,39,False
2018-08-12,21,False
2018-08-19,51,False
2018-08-26,19,False
2018-09-02,45,False
2018-09-09,0,False
2018-09-16,27,False
2018-09-23,37,False
2018-09-30,18,False
2018-10-07,56,False
2018-10-14,66,False
2018-10-21,46,False
2018-10-28,27,False
2018-11-04,18,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,18,False
2018-12-02,18,False
2018-12-09,19,False
2018-12-16,19,False
2018-12-23,44,False
2018-12-30,20,False
2019-01-06,28,False
2019-01-13,27,False
2019-01-20,44,False
2019-01-27,17,False
2019-02-03,18,False
2019-02-10,18,False
2019-02-17,63,False
2019-02-24,27,False
2019-03-03,19,False
2019-03-10,18,False
2019-03-17,37,False
2019-03-24,28,False
2019-03-31,55,False
2019-04-07,18,False
2019-04-14,0,False
2019-04-21,59,False
2019-04-28,0,False
2019-05-05,17,False
2019-05-12,35,False
2019-05-19,52,False
2019-05-26,17,False
2019-06-02,36,False
2019-06-09,18,False
2019-06-16,28,False
2019-06-23,19,False
2019-06-30,19,False
2019-07-07,35,False
2019-07-14,0,False
2019-07-21,28,False
2019-07-28,19,False
2019-08-04,0,False
2019-08-11,21,False
2019-08-18,38,False
2019-08-25,18,False
2019-09-01,33,False
2019-09-08,17,False
2019-09-15,25,False
2019-09-22,33,False
2019-09-29,17,False
2019-10-06,70,False
2019-10-13,0,False
2019-10-20,17,False
2019-10-27,25,False
2019-11-03,0,False
2019-11-10,16,False
2019-11-17,33,False
2019-11-24,16,False
2019-12-01,26,False
2019-12-08,0,False
2019-12-15,17,False
2019-12-22,30,False
2019-12-29,38,False
2020-01-05,25,False
2020-01-12,0,False
2020-01-19,16,False
2020-01-26,31,False
2020-02-02,31,False
2020-02-09,40,False
2020-02-16,32,False
2020-02-23,30,False
2020-03-01,37,False
2020-03-08,0,False
2020-03-15,15,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,14,False
2020-04-12,0,False
2020-04-19,14,False
2020-04-26,0,True
