date,Gartencenter,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,24,False
2018-02-04,0,False
2018-02-11,22,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,51,False
2018-04-01,0,False
2018-04-08,58,False
2018-04-15,31,False
2018-04-22,30,False
2018-04-29,63,False
2018-05-06,31,False
2018-05-13,30,False
2018-05-20,30,False
2018-05-27,60,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,28,False
2018-06-24,0,False
2018-07-01,26,False
2018-07-08,55,False
2018-07-15,27,False
2018-07-22,27,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,27,False
2018-08-26,0,False
2018-09-02,58,False
2018-09-09,87,False
2018-09-16,86,False
2018-09-23,0,False
2018-09-30,56,False
2018-10-07,30,False
2018-10-14,0,False
2018-10-21,31,False
2018-10-28,0,False
2018-11-04,29,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,23,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,23,False
2019-02-17,22,False
2019-02-24,0,False
2019-03-03,22,False
2019-03-10,0,False
2019-03-17,25,False
2019-03-24,52,False
2019-03-31,27,False
2019-04-07,26,False
2019-04-14,28,False
2019-04-21,0,False
2019-04-28,29,False
2019-05-05,0,False
2019-05-12,42,False
2019-05-19,27,False
2019-05-26,27,False
2019-06-02,28,False
2019-06-09,0,False
2019-06-16,26,False
2019-06-23,27,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,38,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,24,False
2019-09-08,24,False
2019-09-15,26,False
2019-09-22,25,False
2019-09-29,0,False
2019-10-06,23,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,23,False
2019-12-01,23,False
2019-12-08,44,False
2019-12-15,22,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,37,False
2020-01-19,0,False
2020-01-26,18,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,35,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,20,False
2020-03-22,18,False
2020-03-29,29,False
2020-04-05,33,False
2020-04-12,42,False
2020-04-19,61,False
2020-04-26,60,False
2020-05-03,22,False
2020-05-10,21,False
2020-05-17,34,False
2020-05-24,54,False
2020-05-31,22,False
2020-06-07,0,False
2020-06-14,20,False
2020-06-21,21,False
2020-06-28,100,False
2020-07-05,61,False
