date,Gartencenter,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,27,False
2018-01-28,28,False
2018-02-04,29,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,40,False
2018-03-18,0,False
2018-03-25,42,False
2018-04-01,56,False
2018-04-08,42,False
2018-04-15,28,False
2018-04-22,55,False
2018-04-29,57,False
2018-05-06,43,False
2018-05-13,27,False
2018-05-20,28,False
2018-05-27,28,False
2018-06-03,0,False
2018-06-10,26,False
2018-06-17,0,False
2018-06-24,26,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,28,False
2018-07-29,29,False
2018-08-05,27,False
2018-08-12,70,False
2018-08-19,27,False
2018-08-26,26,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,53,False
2018-09-23,52,False
2018-09-30,26,False
2018-10-07,27,False
2018-10-14,0,False
2018-10-21,26,False
2018-10-28,27,False
2018-11-04,50,False
2018-11-11,0,False
2018-11-18,50,False
2018-11-25,51,False
2018-12-02,26,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,24,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,24,False
2019-02-17,24,False
2019-02-24,24,False
2019-03-03,25,False
2019-03-10,0,False
2019-03-17,37,False
2019-03-24,49,False
2019-03-31,50,False
2019-04-07,50,False
2019-04-14,54,False
2019-04-21,0,False
2019-04-28,24,False
2019-05-05,0,False
2019-05-12,47,False
2019-05-19,23,False
2019-05-26,47,False
2019-06-02,24,False
2019-06-09,25,False
2019-06-16,25,False
2019-06-23,0,False
2019-06-30,100,False
2019-07-07,48,False
2019-07-14,0,False
2019-07-21,26,False
2019-07-28,25,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,46,False
2019-08-25,46,False
2019-09-01,55,False
2019-09-08,0,False
2019-09-15,36,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,23,False
2019-10-13,23,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,44,False
2019-11-10,22,False
2019-11-17,22,False
2019-11-24,22,False
2019-12-01,23,False
2019-12-08,0,False
2019-12-15,23,False
2019-12-22,25,False
2019-12-29,22,False
2020-01-05,0,False
2020-01-12,40,False
2020-01-19,21,False
2020-01-26,21,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,21,False
2020-02-23,41,False
2020-03-01,31,False
2020-03-08,29,False
2020-03-15,46,False
2020-03-22,52,False
2020-03-29,35,False
2020-04-05,39,False
2020-04-12,84,False
2020-04-19,55,False
2020-04-26,37,False
2020-05-03,57,False
2020-05-10,37,False
2020-05-17,61,False
2020-05-24,19,False
2020-05-31,0,False
2020-06-07,38,False
2020-06-14,28,False
2020-06-21,30,False
2020-06-28,0,False
2020-07-05,0,False
