date,photobook,isPartial
2018-01-07,52,False
2018-01-14,21,False
2018-01-21,51,False
2018-01-28,61,False
2018-02-04,30,False
2018-02-11,41,False
2018-02-18,49,False
2018-02-25,39,False
2018-03-04,40,False
2018-03-11,40,False
2018-03-18,81,False
2018-03-25,32,False
2018-04-01,33,False
2018-04-08,30,False
2018-04-15,31,False
2018-04-22,21,False
2018-04-29,31,False
2018-05-06,0,False
2018-05-13,20,False
2018-05-20,41,False
2018-05-27,52,False
2018-06-03,41,False
2018-06-10,30,False
2018-06-17,40,False
2018-06-24,41,False
2018-07-01,41,False
2018-07-08,41,False
2018-07-15,41,False
2018-07-22,62,False
2018-07-29,42,False
2018-08-05,22,False
2018-08-12,23,False
2018-08-19,23,False
2018-08-26,94,False
2018-09-02,60,False
2018-09-09,100,False
2018-09-16,59,False
2018-09-23,70,False
2018-09-30,40,False
2018-10-07,61,False
2018-10-14,62,False
2018-10-21,60,False
2018-10-28,50,False
2018-11-04,39,False
2018-11-11,82,False
2018-11-18,20,False
2018-11-25,61,False
2018-12-02,51,False
2018-12-09,92,False
2018-12-16,75,False
2018-12-23,36,False
2018-12-30,66,False
2019-01-06,61,False
2019-01-13,40,False
2019-01-20,38,False
2019-01-27,28,False
2019-02-03,48,False
2019-02-10,39,False
2019-02-17,20,False
2019-02-24,59,False
2019-03-03,0,False
2019-03-10,40,False
2019-03-17,31,False
2019-03-24,0,False
2019-03-31,20,False
2019-04-07,30,False
2019-04-14,83,False
2019-04-21,32,False
2019-04-28,61,False
2019-05-05,87,False
2019-05-12,39,False
2019-05-19,38,False
2019-05-26,84,False
2019-06-02,20,False
2019-06-09,50,False
2019-06-16,41,False
2019-06-23,41,False
2019-06-30,21,False
2019-07-07,39,False
2019-07-14,20,False
2019-07-21,21,False
2019-07-28,31,False
2019-08-04,32,False
2019-08-11,46,False
2019-08-18,43,False
2019-08-25,29,False
2019-09-01,37,False
2019-09-08,38,False
2019-09-15,46,False
2019-09-22,28,False
2019-09-29,38,False
2019-10-06,57,False
2019-10-13,19,False
2019-10-20,18,False
2019-10-27,19,False
2019-11-03,81,False
2019-11-10,18,False
2019-11-17,36,False
2019-11-24,45,False
2019-12-01,38,False
2019-12-08,38,False
2019-12-15,38,False
2019-12-22,88,False
2019-12-29,42,False
2020-01-05,28,False
2020-01-12,0,False
2020-01-19,35,False
2020-01-26,52,False
2020-02-02,26,False
2020-02-09,62,False
2020-02-16,44,False
2020-02-23,25,False
2020-03-01,25,False
2020-03-08,24,False
2020-03-15,16,False
2020-03-22,22,False
2020-03-29,38,False
2020-04-05,0,False
2020-04-12,40,False
2020-04-19,53,False
2020-04-26,53,True
