date,Jalousien,isPartial
2018-01-07,0,False
2018-01-14,32,False
2018-01-21,0,False
2018-01-28,16,False
2018-02-04,24,False
2018-02-11,16,False
2018-02-18,33,False
2018-02-25,17,False
2018-03-04,32,False
2018-03-11,39,False
2018-03-18,32,False
2018-03-25,34,False
2018-04-01,17,False
2018-04-08,54,False
2018-04-15,0,False
2018-04-22,29,False
2018-04-29,18,False
2018-05-06,0,False
2018-05-13,24,False
2018-05-20,16,False
2018-05-27,26,False
2018-06-03,0,False
2018-06-10,39,False
2018-06-17,50,False
2018-06-24,0,False
2018-07-01,16,False
2018-07-08,16,False
2018-07-15,16,False
2018-07-22,0,False
2018-07-29,17,False
2018-08-05,24,False
2018-08-12,25,False
2018-08-19,40,False
2018-08-26,41,False
2018-09-02,16,False
2018-09-09,17,False
2018-09-16,0,False
2018-09-23,100,False
2018-09-30,18,False
2018-10-07,0,False
2018-10-14,40,False
2018-10-21,20,False
2018-10-28,27,False
2018-11-04,17,False
2018-11-11,20,False
2018-11-18,20,False
2018-11-25,20,False
2018-12-02,19,False
2018-12-09,29,False
2018-12-16,0,False
2018-12-23,22,False
2018-12-30,16,False
2019-01-06,15,False
2019-01-13,15,False
2019-01-20,0,False
2019-01-27,22,False
2019-02-03,30,False
2019-02-10,15,False
2019-02-17,31,False
2019-02-24,15,False
2019-03-03,16,False
2019-03-10,23,False
2019-03-17,31,False
2019-03-24,0,False
2019-03-31,31,False
2019-04-07,15,False
2019-04-14,17,False
2019-04-21,24,False
2019-04-28,15,False
2019-05-05,30,False
2019-05-12,44,False
2019-05-19,15,False
2019-05-26,15,False
2019-06-02,15,False
2019-06-09,16,False
2019-06-16,31,False
2019-06-23,31,False
2019-06-30,15,False
2019-07-07,15,False
2019-07-14,40,False
2019-07-21,24,False
2019-07-28,0,False
2019-08-04,16,False
2019-08-11,24,False
2019-08-18,31,False
2019-08-25,46,False
2019-09-01,22,False
2019-09-08,31,False
2019-09-15,33,False
2019-09-22,16,False
2019-09-29,15,False
2019-10-06,16,False
2019-10-13,17,False
2019-10-20,25,False
2019-10-27,25,False
2019-11-03,16,False
2019-11-10,0,False
2019-11-17,16,False
2019-11-24,24,False
2019-12-01,33,False
2019-12-08,17,False
2019-12-15,17,False
2019-12-22,0,False
2019-12-29,22,False
2020-01-05,25,False
2020-01-12,0,False
2020-01-19,15,False
2020-01-26,15,False
2020-02-02,27,False
2020-02-09,27,False
2020-02-16,31,False
2020-02-23,15,False
2020-03-01,15,False
2020-03-08,15,False
2020-03-15,27,False
2020-03-22,0,False
2020-03-29,24,False
2020-04-05,13,False
2020-04-12,19,False
2020-04-19,31,False
2020-04-26,25,False
2020-05-03,32,False
2020-05-10,33,False
2020-05-17,49,False
2020-05-24,20,False
2020-05-31,32,False
2020-06-07,35,False
2020-06-14,13,False
2020-06-21,29,False
2020-06-28,14,False
2020-07-05,30,False
