date,Jalousien,isPartial
2018-01-07,53,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,26,False
2018-02-04,26,False
2018-02-11,49,False
2018-02-18,25,False
2018-02-25,0,False
2018-03-04,26,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,31,False
2018-04-08,32,False
2018-04-15,34,False
2018-04-22,100,False
2018-04-29,0,False
2018-05-06,34,False
2018-05-13,0,False
2018-05-20,33,False
2018-05-27,0,False
2018-06-03,32,False
2018-06-10,31,False
2018-06-17,31,False
2018-06-24,0,False
2018-07-01,58,False
2018-07-08,30,False
2018-07-15,45,False
2018-07-22,30,False
2018-07-29,0,False
2018-08-05,27,False
2018-08-12,29,False
2018-08-19,59,False
2018-08-26,0,False
2018-09-02,32,False
2018-09-09,0,False
2018-09-16,32,False
2018-09-23,0,False
2018-09-30,31,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,33,False
2018-11-04,0,False
2018-11-11,33,False
2018-11-18,63,False
2018-11-25,32,False
2018-12-02,0,False
2018-12-09,60,False
2018-12-16,0,False
2018-12-23,29,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,26,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,25,False
2019-02-10,25,False
2019-02-17,0,False
2019-02-24,24,False
2019-03-03,23,False
2019-03-10,73,False
2019-03-17,27,False
2019-03-24,0,False
2019-03-31,30,False
2019-04-07,29,False
2019-04-14,0,False
2019-04-21,62,False
2019-04-28,31,False
2019-05-05,0,False
2019-05-12,31,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,30,False
2019-06-09,29,False
2019-06-16,43,False
2019-06-23,59,False
2019-06-30,28,False
2019-07-07,81,False
2019-07-14,28,False
2019-07-21,82,False
2019-07-28,0,False
2019-08-04,27,False
2019-08-11,26,False
2019-08-18,26,False
2019-08-25,28,False
2019-09-01,26,False
2019-09-08,0,False
2019-09-15,28,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,25,False
2019-10-20,26,False
2019-10-27,25,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,25,False
2019-11-24,49,False
2019-12-01,50,False
2019-12-08,24,False
2019-12-15,71,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,21,False
2020-01-12,20,False
2020-01-19,21,False
2020-01-26,20,False
2020-02-02,19,False
2020-02-09,0,False
2020-02-16,19,False
2020-02-23,36,False
2020-03-01,28,False
2020-03-08,36,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,36,False
2020-04-12,34,False
2020-04-19,44,False
2020-04-26,0,False
2020-05-03,35,False
2020-05-10,46,False
2020-05-17,25,False
2020-05-24,24,False
2020-05-31,24,False
2020-06-07,45,False
2020-06-14,22,False
2020-06-21,0,False
2020-06-28,22,False
2020-07-05,33,False
