date,Abbruch,isPartial
2018-01-07,34,False
2018-01-14,37,False
2018-01-21,31,False
2018-01-28,31,False
2018-02-04,50,False
2018-02-11,44,False
2018-02-18,28,False
2018-02-25,22,False
2018-03-04,28,False
2018-03-11,37,False
2018-03-18,55,False
2018-03-25,44,False
2018-04-01,38,False
2018-04-08,49,False
2018-04-15,24,False
2018-04-22,37,False
2018-04-29,48,False
2018-05-06,33,False
2018-05-13,46,False
2018-05-20,23,False
2018-05-27,40,False
2018-06-03,30,False
2018-06-10,36,False
2018-06-17,33,False
2018-06-24,28,False
2018-07-01,31,False
2018-07-08,31,False
2018-07-15,38,False
2018-07-22,24,False
2018-07-29,10,False
2018-08-05,43,False
2018-08-12,44,False
2018-08-19,46,False
2018-08-26,41,False
2018-09-02,41,False
2018-09-09,51,False
2018-09-16,49,False
2018-09-23,33,False
2018-09-30,10,False
2018-10-07,53,False
2018-10-14,32,False
2018-10-21,44,False
2018-10-28,31,False
2018-11-04,43,False
2018-11-11,41,False
2018-11-18,44,False
2018-11-25,37,False
2018-12-02,16,False
2018-12-09,53,False
2018-12-16,51,False
2018-12-23,47,False
2018-12-30,32,False
2019-01-06,49,False
2019-01-13,32,False
2019-01-20,28,False
2019-01-27,37,False
2019-02-03,53,False
2019-02-10,22,False
2019-02-17,47,False
2019-02-24,45,False
2019-03-03,37,False
2019-03-10,43,False
2019-03-17,44,False
2019-03-24,47,False
2019-03-31,38,False
2019-04-07,32,False
2019-04-14,44,False
2019-04-21,40,False
2019-04-28,42,False
2019-05-05,39,False
2019-05-12,41,False
2019-05-19,28,False
2019-05-26,39,False
2019-06-02,31,False
2019-06-09,29,False
2019-06-16,20,False
2019-06-23,26,False
2019-06-30,40,False
2019-07-07,59,False
2019-07-14,24,False
2019-07-21,28,False
2019-07-28,59,False
2019-08-04,36,False
2019-08-11,43,False
2019-08-18,44,False
2019-08-25,47,False
2019-09-01,46,False
2019-09-08,37,False
2019-09-15,42,False
2019-09-22,35,False
2019-09-29,33,False
2019-10-06,41,False
2019-10-13,33,False
2019-10-20,35,False
2019-10-27,44,False
2019-11-03,47,False
2019-11-10,38,False
2019-11-17,38,False
2019-11-24,29,False
2019-12-01,44,False
2019-12-08,47,False
2019-12-15,30,False
2019-12-22,32,False
2019-12-29,17,False
2020-01-05,27,False
2020-01-12,45,False
2020-01-19,51,False
2020-01-26,31,False
2020-02-02,47,False
2020-02-09,43,False
2020-02-16,40,False
2020-02-23,64,False
2020-03-01,58,False
2020-03-08,100,False
2020-03-15,49,False
2020-03-22,34,False
2020-03-29,39,False
2020-04-05,52,False
2020-04-12,38,False
2020-04-19,29,False
2020-04-26,37,False
2020-05-03,34,False
2020-05-10,63,False
