date,torte matrimonio,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,33,False
2018-01-28,0,False
2018-02-04,31,False
2018-02-11,65,False
2018-02-18,31,False
2018-02-25,0,False
2018-03-04,64,False
2018-03-11,49,False
2018-03-18,31,False
2018-03-25,50,False
2018-04-01,34,False
2018-04-08,0,False
2018-04-15,33,False
2018-04-22,35,False
2018-04-29,51,False
2018-05-06,100,False
2018-05-13,83,False
2018-05-20,33,False
2018-05-27,0,False
2018-06-03,34,False
2018-06-10,46,False
2018-06-17,0,False
2018-06-24,47,False
2018-07-01,0,False
2018-07-08,32,False
2018-07-15,32,False
2018-07-22,31,False
2018-07-29,31,False
2018-08-05,0,False
2018-08-12,55,False
2018-08-19,28,False
2018-08-26,56,False
2018-09-02,0,False
2018-09-09,32,False
2018-09-16,32,False
2018-09-23,64,False
2018-09-30,0,False
2018-10-07,34,False
2018-10-14,68,False
2018-10-21,34,False
2018-10-28,33,False
2018-11-04,65,False
2018-11-11,0,False
2018-11-18,33,False
2018-11-25,33,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,34,False
2018-12-23,0,False
2018-12-30,33,False
2019-01-06,0,False
2019-01-13,32,False
2019-01-20,30,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,30,False
2019-02-24,45,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,31,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,45,False
2019-04-14,32,False
2019-04-21,0,False
2019-04-28,29,False
2019-05-05,0,False
2019-05-12,58,False
2019-05-19,59,False
2019-05-26,28,False
2019-06-02,31,False
2019-06-09,63,False
2019-06-16,31,False
2019-06-23,0,False
2019-06-30,31,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,29,False
2019-08-04,0,False
2019-08-11,30,False
2019-08-18,29,False
2019-08-25,57,False
2019-09-01,0,False
2019-09-08,56,False
2019-09-15,41,False
2019-09-22,28,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,29,False
2019-10-20,29,False
2019-10-27,0,False
2019-11-03,28,False
2019-11-10,0,False
2019-11-17,28,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,29,False
2019-12-22,30,False
2019-12-29,29,False
2020-01-05,28,False
2020-01-12,0,False
2020-01-19,27,False
2020-01-26,27,False
2020-02-02,26,False
2020-02-09,27,False
2020-02-16,27,False
2020-02-23,0,False
2020-03-01,25,False
2020-03-08,23,False
2020-03-15,23,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,22,False
2020-04-26,39,True
