date,cours intensif anglais,isPartial
2018-01-07,32,False
2018-01-14,32,False
2018-01-21,63,False
2018-01-28,63,False
2018-02-04,48,False
2018-02-11,32,False
2018-02-18,34,False
2018-02-25,34,False
2018-03-04,64,False
2018-03-11,33,False
2018-03-18,49,False
2018-03-25,33,False
2018-04-01,0,False
2018-04-08,49,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,34,False
2018-05-06,35,False
2018-05-13,0,False
2018-05-20,33,False
2018-05-27,64,False
2018-06-03,32,False
2018-06-10,46,False
2018-06-17,31,False
2018-06-24,32,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,36,False
2018-07-22,73,False
2018-07-29,38,False
2018-08-05,0,False
2018-08-12,84,False
2018-08-19,0,False
2018-08-26,52,False
2018-09-02,33,False
2018-09-09,0,False
2018-09-16,32,False
2018-09-23,32,False
2018-09-30,32,False
2018-10-07,32,False
2018-10-14,30,False
2018-10-21,31,False
2018-10-28,34,False
2018-11-04,0,False
2018-11-11,31,False
2018-11-18,31,False
2018-11-25,32,False
2018-12-02,48,False
2018-12-09,98,False
2018-12-16,0,False
2018-12-23,61,False
2018-12-30,0,False
2019-01-06,32,False
2019-01-13,48,False
2019-01-20,31,False
2019-01-27,31,False
2019-02-03,0,False
2019-02-10,32,False
2019-02-17,64,False
2019-02-24,33,False
2019-03-03,32,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,34,False
2019-03-31,33,False
2019-04-07,67,False
2019-04-14,0,False
2019-04-21,37,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,100,False
2019-05-26,35,False
2019-06-02,62,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,34,False
2019-07-07,0,False
2019-07-14,73,False
2019-07-21,77,False
2019-07-28,81,False
2019-08-04,43,False
2019-08-11,0,False
2019-08-18,42,False
2019-08-25,0,False
2019-09-01,33,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,31,False
2019-09-29,47,False
2019-10-06,32,False
2019-10-13,32,False
2019-10-20,33,False
2019-10-27,34,False
2019-11-03,64,False
2019-11-10,98,False
2019-11-17,32,False
2019-11-24,31,False
2019-12-01,30,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,61,False
2020-01-19,32,False
2020-01-26,0,False
2020-02-02,62,False
2020-02-09,31,False
2020-02-16,0,False
2020-02-23,30,False
2020-03-01,30,False
2020-03-08,29,False
2020-03-15,0,False
2020-03-22,32,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,30,False
2020-05-03,29,False
2020-05-10,0,False
2020-05-17,0,False
2020-05-24,0,False
2020-05-31,29,False
2020-06-07,0,False
2020-06-14,0,False
2020-06-21,0,True
